arm,scheduler,skew_ms,loss_pct,rep,status,goodput_mbps,elapsed_s,path_a_bytes,path_b_bytes,inner_qlog_lost,netem_drops
block,minrtt,0,0,1,OK,134.16,1.92,16448901,16556677,,0
relay,minrtt,0,0,1,OK,69.906554,3.67,32093488,3613061,1149,0
relay,backup,0,0,1,OK,72.012899,3.56,34684180,0,0,0
block,minrtt,0,0.5,1,OK,124.40,2.06,15294927,17709909,,576
relay,minrtt,0,0.5,1,OK,41.011091,6.25,66260,34947161,333,369
relay,backup,0,0.5,1,OK,51.099864,5.01,34853597,0,211,344
block,minrtt,0,1,1,OK,130.22,1.97,17696634,15308451,,899
relay,minrtt,0,1,1,OK,23.144975,11.06,129038,34939667,436,694
relay,backup,0,1,1,OK,31.753145,8.07,35105951,0,472,691
block,minrtt,20,0,1,OK,128.57,2.00,18662577,14342920,,0
relay,minrtt,20,0,1,OK,72.150912,3.55,34684084,0,0,0
relay,backup,20,0,1,OK,71.972489,3.56,34684180,0,0,0
block,minrtt,20,0.5,1,OK,115.98,2.21,17390617,15615465,,556
relay,minrtt,20,0.5,1,OK,53.648603,4.78,34878596,0,227,337
relay,backup,20,0.5,1,OK,50.364355,5.09,34877428,0,240,360
block,minrtt,20,1,1,OK,114.35,2.25,19753687,13252052,,1044
relay,minrtt,20,1,1,OK,22.603364,11.33,35109802,0,451,709
relay,backup,20,1,1,OK,24.389381,10.50,35125241,0,494,755
block,minrtt,50,0,1,OK,120.01,2.14,19083281,13922527,,0
relay,minrtt,50,0,1,OK,71.977365,3.56,34684180,0,0,0
relay,backup,50,0,1,OK,72.298581,3.55,34684084,0,0,0
block,minrtt,50,0.5,1,OK,94.00,2.73,15758865,17247091,,657
relay,minrtt,50,0.5,1,OK,49.298215,5.20,34858747,0,221,324
relay,backup,50,0.5,1,OK,48.712147,5.26,34854991,0,200,325
block,minrtt,50,1,1,OK,93.79,2.74,20217375,12788503,,1192
relay,minrtt,50,1,1,OK,34.446323,7.44,35087133,0,479,746
relay,backup,50,1,1,OK,20.526499,12.48,35123314,0,477,721
